ID,Q1a_1,Q1a_2,Q1a_3,Q1a_4,Q1a_5,Q1a_6,Q1a_7,Q1a_8,Q1a_9,Q1a_10,Q1b_1,Q1b_2,Q1b_3,Q1b_4,Q1b_5,Q1b_6,Q1b_7,Q1b_8,Q1c,Q1d_1,Q1d_2,Q1d_3,Q1d_4,Q1d_5,Q1d_6,Q1d_7,Q1d_8,Q1d_9,Q1e_1,Q1e_2,Q1e_3,Q1e_4,Q1e_5,Q1e_6,Q1e_7,Q1e_8,Q2a,Q2b,Q2c,Q3a_1,Q3a_2,Q3a_3,Q3b,Q3c,Q3d,Q4a_1,Q4a_2,Q4a_3,Q4a_4,Q4a_5,Q4a_6,Q4a_7,Q4a_8,Q4b_1,Q4b_2,Q4b_3,Q4b_4,Q4b_5,Q4b_6,Q4b_7,Q4c,Q4d,Q5a_1,Q5a_2,Q5a_3,Q5a_4,Q5a_5,Q5a_6,Q5a_7,Q5a_8,Q5a_9,Q5a_10,Q5a_11,Q5a_12,Q5a_13,Q5b,Q5c,Q5e,Q5f,Q5g,Q5h,Q5i,Q5j
P0042,1,0,0,0,1,1,0,1,0,0,3,2,2,3,3,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,1,1,1,2,2,2, ,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0043,1,1,1,0,0,0,0,0,0,0,2,2,1,4,3,2,5,2,1, , , , , , , , , , , , , , , , , ,4,4,2,2,1,3, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0044,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0045,0,1,0,0,0,1,0,1,0,0,3,2,2,3,3,2,2,2,1, , , , , , , , , , , , , , , , , ,3,3,3,2,1,2, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0046,0,1,0,0,1,0,0,0,0,0,4,1,1,4,4,1,1,1,1, , , , , , , , , , , , , , , , , ,1,4,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0047,0,1,0,0,0,1,0,0,0,0,2,1,1,2,3,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,2,2, , , ,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,4,3,3,3,3
P0048,1,1,1,0,1,0,0,1,0,0,2,3,2,5,3,3,3,2,2,0,0,0,0,0,0,0,0,1, , , , , , , , ,3,3,2,1,1,2,3,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0049,1,0,1,1,0,0,0,0,0,0,3,2,2,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,2,2,2, , , ,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,3,4,3,1,3,1
P0050,0,1,0,0,1,1,0,0,0,0,3,1,1,2,2,1,5,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,2,1,2,2,2, , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0051,1,1,0,0,1,0,1,1,0,0,4,3,2,3,4,2,2,2,5,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,2,1,1,1,3,3,3, ,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,2,2,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,2,3,3,3,3,1
P0052,1,1,0,1,1,0,1,1,0,0,3,2,2,2,1,2,3,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,3,2,1,1,2,2,2, ,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,2,2,2,2,2,2,1,2
P0053,0,1,0,0,0,1,0,1,0,0,2,1,2,2,2,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,2,2,1, , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0054,1,1,1,0,1,0,1,1,0,0,2,2,1,3,2,2,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,3,3,2,1,1,1,2,2,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,3,3,3,4
P0055,0,0,0,0,0,0,0,0,0,1,3,2,1,4,3,2,2,2,2,0,0,0,0,0,0,0,0,1, , , , , , , , ,2,2,1,1,1,2,2,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0056,0,0,0,0,0,0,0,0,0,1,4,2,3,3,3,3,3,2,1, , , , , , , , , , , , , , , , , ,5,5,3,1,2,3,2, , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0057,1,1,1,0,1,1,0,1,0,0,1,2,1,2,2,1,2,1,4,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,3,2,2,1,1,2,2,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0058,1,0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,2,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,1,1,1,2,2,4, ,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1, , , , , , , , , , , , , , , , , , , , , 
P0059,0,1,1,0,0,1,1,0,0,0,4,3,2,3,3,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,2,1,2,2,2, , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0060,1,0,0,0,0,1,0,1,0,0,4,2,2,4,3,2,2,3,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,2,1,1,1,1,3,2,3,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,3,3,2,4,2,3,3,2
P0061,0,0,0,0,0,0,0,0,1,0,2,1,2,3,1,2,3,1,1, , , , , , , , , , , , , , , , , ,4,4,2,2,1,2, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0062,0,0,0,0,0,0,0,0,0,1,2,3,3,2,1,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,1,2,1,3, ,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , , 
P0063,1,1,0,0,1,0,0,0,0,0,1,1,2,5,4,5,5,3,1, , , , , , , , , , , , , , , , , ,5,5,3,2,1,3, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0064,1,1,1,1,1,1,1,1,0,0,4,1,1,2,2,2,1,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,2,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,2,2,0,1,1,0,1,0,1,0,0,0,0,0,0,2,1,2,1,3,2,3,2
P0065,0,1,0,0,0,0,0,0,0,0,3,2,2,3,4,1,3,2,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,3,3,2,2,1,2, ,2, ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0066,0,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , ,2,2,1,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0067,1,1,0,0,0,0,0,0,0,0,2,2,2,4,3,2,4,2,1, , , , , , , , , , , , , , , , , ,3,3,2,2,1,2, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0068,0,1,0,0,1,1,0,1,0,0,2,1,2,1,1,2,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,1,1,1,2,5,2, ,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0069,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,2,1,2,4,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,2,1,1,1,1,2,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,2,2,1,4,3,2,1,1
P0070,1,1,1,0,0,1,1,1,0,0,3,3,3,4,4,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,3,2,1,1,2,2,2, ,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0071,0,0,1,0,0,1,1,0,0,0,3,2,2,4,4,2,2,3,1, , , , , , , , , , , , , , , , , ,5,5,3,1,1,2,2,3, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0072,0,1,0,0,0,0,1,0,0,0,2,2,2,4,4,2,2,3,6, , , , , , , , , , , , , , , , , ,5,5,3,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0073,1,0,0,0,0,0,0,0,0,0,2,2,2,3,4,2,4,2,1, , , , , , , , , , , , , , , , , ,3,3,2,2,1,2, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0074,1,0,1,1,1,0,1,1,0,0,2,1,1,2,2,2,1,1,4,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
P0075,0,1,0,0,0,0,0,0,0,0,4,1,2,4,4,1,4,3,1, , , , , , , , , , , , , , , , , ,3,3,2,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
