ID,Q1a_1,Q1a_2,Q1a_3,Q1a_4,Q1a_5,Q1a_6,Q1a_7,Q1a_8,Q1a_9,Q1a_10,Q1b_1,Q1b_2,Q1b_3,Q1b_4,Q1b_5,Q1b_6,Q1b_7,Q1b_8,Q1c,Q1d_1,Q1d_2,Q1d_3,Q1d_4,Q1d_5,Q1d_6,Q1d_7,Q1d_8,Q1d_9,Q1e_1,Q1e_2,Q1e_3,Q1e_4,Q1e_5,Q1e_6,Q1e_7,Q1e_8,Q2a,Q2b,Q2c,Q3a_1,Q3a_2,Q3a_3,Q3b,Q3c,Q3d,Q4a_1,Q4a_2,Q4a_3,Q4a_4,Q4a_5,Q4a_6,Q4a_7,Q4a_8,Q4b_1,Q4b_2,Q4b_3,Q4b_4,Q4b_5,Q4b_6,Q4b_7,Q4c,Q4d,Q5a_1,Q5a_2,Q5a_3,Q5a_4,Q5a_5,Q5a_6,Q5a_7,Q5a_8,Q5a_9,Q5a_10,Q5a_11,Q5a_12,Q5a_13,Q5b,Q5c,Q5e,Q5f,Q5g,Q5h,Q5i,Q5j
P0591,0,1,1,0,1,1,1,0,0,0,2,1,1,2,3,1,2,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,2,1,1,1,2,2,2,0,0,0,0,0,0,1,0, , , , , , , , , ,0,0,0,0,1,1,1,1,0,1,0,0,0,1,2,2,4,3,3,3,1
P0592,0,1,0,0,0,0,0,1,0,0,1,2,1,5,4,1,5,2,2,0,0,0,0,0,0,0,0,1, , , , , , , , ,5,5,3,1,2,3,2, , ,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,2, , , , , , , , , , , , , , , , , , , , , 
P0593,1,0,0,0,1,0,0,0,0,0,2,3,2,2,2,3,2,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,5,3,2,1,1,2,2,2, ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,4,5,3,3,3,3
P0594,0,1,1,0,1,0,1,0,0,0,2,2,1,4,3,1,2,4,3,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,3,1,1,1,2,1,2, ,2,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,2,3,2,4,3,3,3,2
P0595,1,1,0,0,0,1,0,1,0,0,2,2,2,2,4,1,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,2,3,1,3, ,1, ,0,0,0,0,0,0,1,0, , , , , , , , , ,0,0,0,0,1,1,0,0,0,1,0,0,0,2,1,2,3,3,3,3,2
P0596,1,1,1,0,0,0,0,0,0,0,2,2,2,4,4,3,4,3,1, , , , , , , , , , , , , , , , , ,3,3,2,2,1,2, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0597,0,1,0,0,0,0,0,1,0,0,2,4,3,3,3,3,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,1,1,2,2,2, ,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,3,2, , , , , , , , , , , , , , , , , , , , , 
P0598,0,1,0,0,0,0,0,0,0,0,2,2,2,4,4,2,4,3,1, , , , , , , , , , , , , , , , , ,4,3,2,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0599,1,1,0,1,1,0,0,1,0,0,1,2,1,1,1,2,1,2,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,3,3,2,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,2,3,1,1,1,1
P0600,0,1,0,0,1,0,0,0,0,0,3,4,3,2,3,4,3,3,6, , , , , , , , , , , , , , , , , ,2,2,1,1,2,2,3, , ,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2, , , , , , , , , , , , , , , , , , , , , 
P0601,0,1,1,0,0,1,1,0,0,0,3,2,2,4,4,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,3,2,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0602,1,0,0,0,0,0,1,1,0,0,2,1,1,3,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,1,1,1,3,2,2, ,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,1,0,0,0,1,1,0,0,0,0,0,2,3,3,4,3,3,3,3
P0603,0,1,1,0,0,0,1,0,0,0,4,3,2,3,2,2,2,2,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,3,1,1,1,1,2,2,2,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0604,0,1,0,1,1,1,1,1,0,0,5,3,2,3,2,3,3,3,3,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,2,2,1,2,2,1, , ,2,0,0,0,0,0,0,1,0, , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,3,3,3,1
P0605,0,1,1,1,1,1,1,1,0,0,2,2,2,3,4,1,2,3,5,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,2,2,1,1,1,1,2,1,2,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,2,2,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,1,1,1,2,3,1
P0606,0,0,0,0,0,0,0,0,0,1,2,2,2,4,4,2,4,2,2,0,0,0,0,0,0,0,0,1, , , , , , , , ,5,5,3,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0607,1,0,0,0,0,1,0,1,0,0,3,1,3,2,3,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,2,1,1, ,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1,0,0,0,0,1,0,0,1,0,0,0,0,2,2,1,1,1,2,1,3
P0608,0,0,0,0,1,0,0,1,0,0,2,2,3,4,3,1,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,3,2,1,2,2,2, , ,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0609,1,1,1,0,1,1,0,1,0,0,1,2,2,3,2,1,3,2,2,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0610,0,1,1,0,0,1,1,1,0,0,1,1,2,2,1,2,1,2,4,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,3,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,2,2,1,1,0,0,0,1,1,1,1,0,0,0,0,2,2,3,2,1,1,1,3
P0611,0,0,0,1,0,0,0,0,0,0,2,2,2,2,3,2,2,2,5,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,2,2,1, ,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,3,2,1
P0612,1,1,1,0,1,1,0,0,0,0,3,2,2,4,3,2,5,2,2,0,0,0,0,0,0,0,0,1, , , , , , , , ,3,3,2,1,1,2,2,2, ,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0613,0,0,0,0,1,1,0,1,0,0,3,2,2,2,3,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1,1,1,1,2,2,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3
P0614,0,1,1,0,0,0,0,0,0,0,2,1,1,2,5,1,1,1,6, , , , , , , , , , , , , , , , , ,5,5,2,2,1,3, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0615,1,1,0,0,1,1,0,1,0,0,1,1,1,2,4,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1,1,1,3,2,2, ,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,3,3,3,1
P0616,0,1,0,0,0,0,0,1,0,0,2,2,2,4,2,2,3,2,1, , , , , , , , , , , , , , , , , ,3,3,2,3,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0617,0,0,0,0,1,1,0,0,0,0,2,2,2,3,2,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,2,1,1,1,5,5,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0618,0,0,0,0,1,0,0,0,0,0,3,3,3,4,2,3,3,3,2,0,0,0,0,0,0,0,0,1, , , , , , , , ,5,5,3,1,1,2,3,3, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0619,0,1,0,0,1,0,0,0,0,0,3,2,3,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,3,1,2, ,2,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0620,1,1,0,0,0,0,0,0,0,0,1,1,2,4,4,2,3,2,1, , , , , , , , , , , , , , , , , ,4,3,2,2,1,3, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0621,0,1,0,1,1,1,1,0,0,0,1,1,2,1,2,2,3,3,4,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,2,1,1,1,1,2,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,2,2,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,2,3,2,1,1,2
P0622,0,1,1,0,0,1,0,1,0,0,3,2,2,2,3,2,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,2,2,1,3, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , ,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,4,3,3,3,3
P0623,0,0,0,0,1,0,0,1,0,0,4,3,3,4,3,3,3,2,1, , , , , , , , , , , , , , , , , ,2,3,2,1,1,3,1,4, ,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0624,0,1,1,1,1,1,0,1,0,0,3,2,2,2,3,2,1,2,4,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,2,2,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,1,0,0,0,2,2,2,4,3,3,1,3
P0625,0,0,0,0,1,0,0,0,0,0,2,3,2,2,1,2,2,2,1, , , , , , , , , , , , , , , , , ,3,5,1,2,2,2, , , ,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0626,1,0,0,0,0,1,0,0,0,0,2,2,2,1,2,1,2,1,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,2,1,1,2,2,2, , ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,2,2,1,2,3,2
P0627,0,0,0,1,0,0,0,0,0,0,4,3,4,2,3,4,2,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,2,2,2,1, , ,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,2,4,3,3,3,3
P0628,1,1,0,0,1,1,0,1,0,0,2,2,2,2,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,2,1,1,1,2,2,2,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0629,1,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0630,1,1,0,0,1,1,1,1,0,0,2,2,2,4,2,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,2,1,1,2,1,1, ,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0631,0,1,0,0,0,0,0,0,0,0,4,2,2,4,4,2,4,3,6, , , , , , , , , , , , , , , , , ,5,5,3,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0632,1,0,1,0,0,0,0,0,0,0,2,5,2,5,5,5,5,5,2,0,0,0,0,0,0,0,0,1, , , , , , , , ,3,3,2,2,1,2, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0633,1,1,1,0,1,1,0,1,0,0,2,2,1,2,2,2,1,2,4,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,4,3,3,3,1
P0634,1,1,0,0,0,1,0,0,0,0,1,1,2,3,4,1,2,2,1, , , , , , , , , , , , , , , , , ,3,3,3,2,1,3, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0635,1,0,0,0,0,0,0,0,0,0,3,2,2,2,2,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,3,3,3,1,2, ,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0636,0,0,0,0,0,0,0,1,0,0,2,1,1,2,1,2,2,3,1, , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,1,1, ,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,2, , , , , , , , , , , , , , , , , , , , , 
P0637,0,0,0,0,1,0,0,0,0,0,3,2,1,2,3,2,2,1,1, , , , , , , , , , , , , , , , , ,3,3,2,1,2,2,2, , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0638,1,1,1,0,0,0,0,0,0,0,3,2,2,5,4,2,2,2,1, , , , , , , , , , , , , , , , , ,3,3,3,2,1,2, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0639,0,0,0,0,1,0,0,0,1,0,4,2,3,1,3,4,4,2,6, , , , , , , , , , , , , , , , , ,2,2,1,1,1,3,2,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0640,0,1,0,0,0,1,1,1,0,0,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,3,1,1,1,1,2,2,2,0,0,0,0,0,0,1,0, , , , , , , , , ,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,2,4,3,3,3,1
P0641,0,0,0,0,1,1,0,0,0,0,1,2,1,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,1,1,1,2,1,1, ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0642,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,1, , , , , , , , , , , , , , , , , ,5,5,3,3,3,3, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0643,0,0,0,0,0,0,0,0,0,1,5,5,5,5,4,5,5,5,1, , , , , , , , , , , , , , , , , ,3,4,2,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0644,0,1,0,1,1,1,0,1,0,0,3,3,3,3,3,2,4,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,1,2,2,2, , , ,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,2,2,4,4,3,3,3,3
P0645,1,0,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,4,3,3,3,3
P0646,1,0,0,0,1,0,0,1,0,0,2,1,2,3,1,1,5,3,1, , , , , , , , , , , , , , , , , ,3,1,1,1,2,1,1, ,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0647,1,0,0,0,1,0,0,0,0,0,2,2,2,2,3,3,4,4,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,2,2,1,1,2,1,3, ,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1, , , , , , , , , , , , , , , , , , , , , 
P0648,0,1,0,0,1,1,0,1,0,0,2,2,2,2,3,2,3,2,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,3,1,1,1,1,2,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0649,1,1,0,0,0,0,0,0,0,0,2,2,2,4,4,3,4,3,1, , , , , , , , , , , , , , , , , ,4,4,3,2,1,2, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0650,0,1,0,0,0,1,0,0,0,0,3,2,2,4,4,2,3,3,6, , , , , , , , , , , , , , , , , ,3,2,1,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0651,1,1,0,0,0,0,0,1,0,0,4,3,2,5,4,3,2,2,1, , , , , , , , , , , , , , , , , ,2,2,1,1,1,2,2,2, ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0652,0,1,0,0,0,0,0,0,0,0,3,2,2,3,3,3,3,2,2,0,0,0,0,0,0,0,0,1, , , , , , , , ,5,5,3,2,1,2, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0653,1,1,1,0,1,0,0,0,0,0,1,1,2,4,3,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,1,2,2,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0654,1,0,0,0,0,1,0,0,0,0,2,2,2,5,5,2,2,2,1, , , , , , , , , , , , , , , , , ,4,3,2,2,1,2, ,2, ,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0655,0,1,0,0,0,0,0,0,0,0,3,2,3,3,3,3,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,1,1,3,2,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0656,0,1,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,2,2,2, ,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2, , , , , , , , , , , , , , , , , , , , , 
P0657,0,0,0,0,0,0,0,1,1,0,4,4,5,4,4,4,3,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,4,1,2,2,2, , , ,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0658,1,1,0,0,1,0,1,1,0,0,1,1,3,3,1,1,2,1,2,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,2,1,1, ,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,2,1, , , , , , , , , , , , , , , , , , , , , 
P0659,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1,2,1,1, ,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,3,3,2,2,2
P0660,0,1,1,0,1,0,0,0,0,0,3,2,2,4,3,2,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,2,2,2,4,4,3,3,1
P0661,0,0,0,0,0,0,0,0,0,1,4,3,4,5,5,5,5,5,6, , , , , , , , , , , , , , , , , ,5,5,3,3,3,3, , , ,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0662,1,0,1,1,1,1,1,1,0,0,2,1,2,2,1,2,2,1,3,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,2,1,1,2,1,1, ,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,2,2,1,1,0,1,1,0,1,1,0,1,0,0,0,1,2,2,5,3,2,4,1
P0663,0,1,1,0,1,1,0,1,0,0,2,2,2,4,3,2,2,1,1, , , , , , , , , , , , , , , , , ,2,2,1,1,3,3,2, , ,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,2, , , , , , , , , , , , , , , , , , , , , 
P0664,1,1,1,0,0,1,0,1,0,0,3,3,3,3,3,3,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,2,2,1,2, ,1, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0665,1,1,1,1,1,1,1,1,0,0,1,1,1,1,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,2,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,2,1,1,1,1,1
P0666,0,0,0,0,0,1,0,0,0,0,3,3,3,4,3,2,3,2,1, , , , , , , , , , , , , , , , , ,3,3,2,2,1,2, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0667,0,0,1,0,0,0,0,0,0,0,1,2,1,5,2,1,2,2,6, , , , , , , , , , , , , , , , , ,5,4,3,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0668,0,1,0,0,0,0,0,1,0,0,2,2,2,5,3,2,5,2,1, , , , , , , , , , , , , , , , , ,3,3,2,2,1,3, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0669,0,1,0,0,0,0,0,0,0,0,3,2,2,3,3,2,2,3,2,0,0,0,0,0,0,0,0,1, , , , , , , , ,5,5,3,1,1,2,2,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0670,1,1,1,0,1,0,0,1,0,0,1,1,1,3,2,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0671,0,0,0,0,1,1,0,0,0,0,3,2,2,3,3,2,3,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,3,2,1,1,2,1,2, ,2,0,0,0,0,0,0,1,0, , , , , , , , , ,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,4,3,3,3,1
P0672,0,0,0,0,1,1,0,1,0,0,2,2,2,5,3,2,5,2,3,0,0,0,0,0,0,0,0,1, , , , , , , , ,5,5,3,1,1,3,2,2, ,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0673,1,1,1,0,1,1,0,1,0,0,2,2,1,4,2,1,3,2,6, , , , , , , , , , , , , , , , , ,2,2,1,1,1,3,2,2, ,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0674,1,1,0,1,0,1,0,1,0,0,1,2,4,1,4,2,4,3,4,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,2,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,2,2,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,2,4,3,3,3,1
P0675,1,0,0,0,1,0,0,0,0,0,4,3,5,5,2,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,3,1,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0676,1,1,0,0,1,1,0,0,0,0,2,2,1,2,1,1,1,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,1,1,1,2,1,1, ,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,2,1,2,1,1,2
P0677,1,0,1,0,1,0,0,0,0,0,2,1,2,1,2,1,2,1,3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,1,1,2,1,1, ,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0678,1,1,0,0,0,1,0,1,0,0,1,2,1,2,3,2,5,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,1,1,1,2,2,2, ,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0679,0,0,0,0,0,0,0,0,0,1,4,2,3,3,3,3,3,3,1, , , , , , , , , , , , , , , , , ,4,5,1,3,1,2, ,3, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0680,0,0,1,0,0,0,0,0,0,0,4,2,1,5,4,2,5,3,2,0,0,0,0,0,0,0,0,1, , , , , , , , ,3,3,2,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0681,0,0,0,0,1,0,1,1,0,0,2,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , ,1,1,3,1,1,1,4,3,3,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
