Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.0021905948,-0.16172682,0.16008008,0.3107453639188011
time,-0.0038469634,-0.01816745,0.0105095375,1.0
ground_truth,0.65015703,0.6353828,0.66506267,0.0
researched,-0.015646804,-0.03046656,-0.0009827972,1.0
sub_compliance,-0.020961743,-0.028388567,-0.013416584,1.0
ground_truth_researched,0.12495006,0.09597077,0.15349211,0.0
time_ground_truth,0.15799549,0.12880263,0.18710722,0.0
time_researched,-0.014103556,-0.042403627,0.01448814,1.0
time_ground_truth_researched,0.19968688,0.14397681,0.2551318,0.0
