Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.0049600746,-0.16739124,0.17400807,0.2929121309838278
time,-0.038176533,-0.06353693,-0.012705297,0.733690870584996
ground_truth,0.73779285,0.71090436,0.76521933,0.0
researched,-0.0011222338,-0.026719637,0.024722649,1.0
sub_compliance,-0.021133108,-0.03400377,-0.008123536,1.0
ground_truth_researched,0.1567251,0.106734015,0.20723979,0.0
time_ground_truth,0.120010644,0.070105456,0.1704658,0.0
time_researched,0.04656776,-0.0031821306,0.09551728,0.5388292748833481
time_ground_truth_researched,0.20042814,0.109336555,0.2920996,0.0
