Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.0043318896,-0.16102338,0.16724002,0.3046334114471835
time,-0.042461056,-0.072889954,-0.011780657,0.6254259992531046
ground_truth,0.6645435,0.6308807,0.69867843,0.0
researched,0.013470012,-0.017985467,0.044323772,1.0
sub_compliance,-0.015447698,-0.030966159,0.00058387476,1.0
ground_truth_researched,0.14935035,0.09025502,0.20843625,0.0
time_ground_truth,0.11759533,0.05953672,0.17681976,0.0
time_researched,0.038460065,-0.02174496,0.09842133,0.5970473225218456
time_ground_truth_researched,0.2293686,0.1264694,0.33385056,0.0
