Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,-0.0017985794,-0.12280641,0.12107753,0.41003110325834524
time,-0.03014632,-0.06134936,0.0005683762,0.8167026219762542
ground_truth,0.3545647,0.3222421,0.38603297,0.0
researched,-0.0047163963,-0.036528595,0.026406975,1.0
istest,0.006384069,-0.025376039,0.037681825,1.0
sub_compliance,0.0069551775,-0.008718908,0.022310484,1.0
ground_truth_researched,-0.029444592,-0.0851998,0.026975937,0.6862084170847013
ground_truth_istest,-0.0068966034,-0.062483486,0.049832072,0.8888534587564004
researched_istest,0.0016511179,-0.05735548,0.059819095,0.8534274734920826
ground_truth_researched_istest,-0.015924485,-0.10512791,0.07371736,0.559142543602567
time_ground_truth,-0.2302097,-0.28755787,-0.17317197,0.0
time_researched,-0.0058236024,-0.06188471,0.05144243,0.8824011763970323
time_istest,0.026980828,-0.030057086,0.08281154,0.7092944020635857
time_ground_truth_researched,-0.080525056,-0.16857831,0.0076786084,0.3272416671130235
time_ground_truth_istest,9.9023826e-05,-0.08647793,0.086956896,0.5765854736492284
time_researched_istest,0.00562088,-0.08683562,0.09791923,0.5412577628674194
time_ground_truth_researched_istest,0.02571717,-0.08145937,0.13612577,0.4595901955719163
