Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,-1.9686732,-2.0115194,-1.926189,0.0
ground_truth,-0.06368729,-0.12586942,-0.0013183727,0.3908568184870144
researched,0.07145519,0.007789389,0.13308187,0.33689660453822157
istest,0.006447952,-0.07246592,0.085243255,0.6340785228507637
sub_compliance,0.053551428,0.01236638,0.09543831,0.45302451332743
ground_truth_researched,0.035048895,-0.07668338,0.1459112,0.44924723372052866
ground_truth_istest,-0.059819143,-0.17470732,0.05546034,0.43446589328356866
researched_istest,-0.15205687,-0.2646637,-0.037191033,0.05630991641769458
ground_truth_researched_istest,-0.2939817,-0.4857019,-0.10489068,0.0
