Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,-1.8360707,-1.8832357,-1.7891157,0.0
ground_truth,0.0073307105,-0.06426601,0.079854816,0.6938622394935372
researched,0.10792215,0.037866443,0.17853484,0.08625645332420351
istest,0.019134508,-0.069946766,0.10505603,0.5714194338177212
sub_compliance,-0.034180015,-0.07940065,0.010493518,0.67294151021565
ground_truth_researched,-0.15465587,-0.28694665,-0.025632223,0.09325078899479435
ground_truth_istest,-0.016449526,-0.14571373,0.1129181,0.38665000699882357
researched_istest,-0.09897208,-0.22835875,0.030434154,0.31080510367257774
ground_truth_researched_istest,0.067514926,-0.13302995,0.26892558,0.24878373980376264
