Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,-0.00035350028,-0.1232993,0.12263054,0.4066200389818949
time,-0.029866803,-0.06146488,0.0010784984,0.8166891522175567
ground_truth,0.35554707,0.32371056,0.38747314,0.0
researched,-0.004556285,-0.03547354,0.026914064,1.0
sub_compliance,0.006825103,-0.0092702275,0.022488864,1.0
ground_truth_researched,-0.03043014,-0.08879268,0.025566386,0.6607817599752375
time_ground_truth,-0.23285091,-0.29086417,-0.17553478,0.0
time_researched,-0.0062525896,-0.063904785,0.050500773,0.8740834114499181
time_ground_truth_researched,-0.08193943,-0.1760313,0.008778735,0.3180494663753647
