Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.0022918216,-0.16188858,0.16927446,0.3019660568387943
time,-0.038206186,-0.06378279,-0.012501591,0.731231145721391
ground_truth,0.7368435,0.7101362,0.7629947,0.0
researched,-0.0008804428,-0.026282003,0.02466301,1.0
istest,-0.009078333,-0.03538329,0.016242132,1.0
sub_compliance,-0.02109758,-0.034400873,-0.0077698017,1.0
ground_truth_researched,0.15563864,0.10606715,0.20514897,0.0
ground_truth_istest,0.075815275,0.025605539,0.125182,0.24498219939738916
researched_istest,-0.021663526,-0.07216794,0.029170884,0.7812492832804228
ground_truth_researched_istest,0.09608394,0.008344211,0.18620966,0.23419831450128992
time_ground_truth,0.12049366,0.07122461,0.1707091,0.0
time_researched,0.046084113,-0.0027437836,0.0947859,0.5407972450370643
time_istest,-0.017600626,-0.068627566,0.032997556,0.8167031368941091
time_ground_truth_researched,0.19986439,0.109092124,0.29213953,0.0
time_ground_truth_istest,-0.048363436,-0.13410912,0.03958378,0.515759582547977
time_researched_istest,-0.016180333,-0.10784434,0.073171765,0.5524370409914235
time_ground_truth_researched_istest,-0.0666206,-0.19939102,0.06421286,0.37935708541196106
