Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.003522453,-0.1638615,0.16689157,0.30234035035221607
time,0.01729006,-0.0006664304,0.034821067,1.0
ground_truth,0.6672639,0.6488485,0.6853313,0.0
researched,-0.0033589404,-0.02131267,0.014659864,1.0
sub_compliance,-0.0069556525,-0.01604672,0.00206246,1.0
ground_truth_researched,0.12612246,0.09113068,0.16139473,0.0
time_ground_truth,0.18058462,0.14521222,0.21650119,0.0
time_researched,-0.0012665716,-0.036331315,0.0332011,1.0
time_ground_truth_researched,0.25811818,0.1916441,0.32471293,0.0
