model,task_1Seconds,task_2Seconds,iscontrol,searchornot
GPT4o,948.58,699.731,0,1
GPT4o,758.211,980.413,1,1
GPT4o,1099.547,920.775,1,1
GPT4o,522.732,139.881,0,1
GPT4o,961.623,1213.057,1,1
GPT4o,1437.168,777.072,1,1
GPT4o,1030.189,845.635,1,1
GPT4o,1794.38,1334.16,0,1
GPT4o,1440.442,1307.36,0,1
GPT4o,1194.046,1439.831,1,1
GPT4o,1168.374,1138.581,1,1
GPT4o,2189.082,764.851,1,1
GPT4o,2052.177,2396.62,1,1
GPT4o,2346.041,1417.501,1,1
GPT4o,1414.699,1204.881,0,1
GPT4o,1635.976,1176.546,1,1
GPT4o,1459.551,1303.447,1,1
GPT4o,1559.538,1118.836,0,1
GPT4o,2498.443,1107.698,1,1
GPT4o,1120.323,1163.568,0,1
GPT4o,775.828,936.253,1,1
GPT4o,1281.66,663.514,1,1
GPT4o,937.294,795.928,1,1
GPT4o,687.613,983.986,1,1
GPT4o,1764.401,1779.518,1,1
GPT4o,1405.025,448.407,0,1
GPT4o,1148.367,872.401,0,1
GPT4o,2067.169,1063.138,0,1
GPT4o,4074.898,2182.554,1,1
GPT4o,562.338,408.409,0,1
GPT4o,2398.229,735.644,0,1
GPT4o,3260.551,1832.756,1,1
GPT4o,1503.474,1358.655,1,1
GPT4o,903.756,572.762,0,1
GPT4o,1077.973,760.575,1,1
GPT4o,1576.153,1242.589,1,1
GPT4o,2056.26,1605.878,0,1
GPT4o,712.658,611.819,1,1
GPT4o,2032.688,2655.902,0,1
GPT4o,1955.41,1466.038,0,1
GPT4o,2231.915,2043.718,1,1
GPT4o,2227.005,1567.687,1,1
GPT4o,1003.849,513.453,0,1
GPT4o,1638.045,982.318,1,1
GPT4o,1542.816,786.492,0,1
GPT4o,1492.898,1080.954,1,1
GPT4o,725.222,524.951,0,1
GPT4o,1212.21,2275,0,1
GPT4o,1520.756,1249.197,1,1
GPT4o,454.093,242.288,0,1
GPT4o,1890.816,871.148,1,1
GPT4o,713.259,546.088,0,1
GPT4o,1458.294,1445.536,1,1
GPT4o,895.746,355.656,0,1
GPT4o,791.856,1346.241,1,1
GPT4o,1238.62,1069.776,0,1
GPT4o,1689.808,1989.332,0,1
GPT4o,1295.702,1441.627,1,1
GPT4o,3734.015,720.998,0,1
GPT4o,1038.968,1160.016,0,1
GPT4o,1450.766,1020.428,0,1
GPT4o,1677.72,1848.806,0,1
GPT4o,525.866,307.886,1,1
GPT4o,1820.151,1405.077,1,1
GPT4o,1234.018,739.911,1,1
GPT4o,1443.262,1338.928,1,1
GPT4o,1744.157,1264.457,1,1
GPT4o,323.404,279.178,0,1
GPT4o,1050.842,322.255,1,1
GPT4o,1147.163,660.937,1,1
GPT4o,1742.712,NaN,1,1
GPT4o,1612.64,427.998,0,1
GPT4o,1319.687,1109.463,0,1
GPT4o,1543.066,669.936,0,1
GPT4o,493.588,342.668,1,1
GPT4o,1939.227,1085.987,1,1
GPT4o,1031.405,687.228,0,1
GPT4o,1364.238,1423.326,1,1
GPT4o,1139.912,813.752,1,1
GPT4o,244.922,114.22,1,1
GPT4o,1691.574,1180.453,0,1
GPT4o,2096.531,1884.88,1,1
GPT4o,724.82,512.146,1,1
GPT4o,1336.32,810.352,1,1
GPT4o,800.111,761.566,0,1
GPT4o,784.576,741.98,1,1
GPT4o,1249.044,1809.881,1,1
GPT4o,573.65,379.78,0,1
GPT4o,555.297,494.414,1,1
GPT4o,1773.381,1396.888,0,1
GPT4o,177.995,466.032,1,1
GPT4o,507.329,572.588,0,1
GPT4o,888.486,1118.611,0,1
GPT4o,1021.5,1288.634,1,1
GPT4o,1223.704,753.223,1,1
GPT4o,1193.383,1059.999,1,1
GPT4o,1152.304,1221.116,0,1
GPT4o,2920.268,1448.332,1,1
GPT4o,1265.462,1029.774,0,1
GPT4o,3048.116,1220.461,0,1
GPT4o,1906.697,829.718,0,1
GPT4o,1478.448,1249.145,1,1
GPT4o,308.333,90.572,1,1
GPT4o,675.336,696.593,0,1
GPT4o,1415.102,1300.469,1,1
GPT4o,1026.919,1268.455,1,1
GPT4o,1868.595,405.004,0,1
GPT4o,1631.162,1063.291,1,1
GPT4o,2037.789,1468.784,0,1
GPT4o,1906.189,1871.1,1,1
GPT4o,1264.169,481.743,1,1
GPT4o,744.602,808.077,1,1
GPT4o,981.349,842.309,0,1
GPT4o,735.415,409.342,1,1
GPT4o,3230.864,2688.28,1,1
GPT4o,967.487,1938.635,0,1
GPT4o,1263.6,1601.484,1,1
GPT4o,1965.821,1610.973,0,1
GPT4o,1068.808,1291.517,0,1
GPT4o,538.029,318.202,0,1
GPT4o,1061.685,760.648,0,1
GPT4o,2492.272,2500.742,1,1
GPT4o,1196.817,477.824,0,1
GPT4o,1666.675,1136.544,1,1
GPT4o,1453.749,1326.137,1,1
GPT4o,1526.267,1276.778,0,1
GPT4o,634.89,345.605,1,1
