Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.0019347063,-0.16074234,0.16705868,0.30506311517670825
time,0.01653848,-0.0008233626,0.034376685,1.0
ground_truth,0.66735476,0.6493767,0.6849592,0.0
researched,-0.002856173,-0.020734446,0.015075833,1.0
istest,-0.040049676,-0.057737447,-0.022453718,0.7807077810216945
ground_truth_researched,0.12438622,0.09022041,0.15826443,0.0
ground_truth_istest,0.0053841574,-0.029724937,0.040386282,1.0
researched_istest,-0.030395549,-0.06570428,0.003605221,0.7734180921378682
ground_truth_researched_istest,0.10941036,0.043611582,0.17611304,0.0482139425595792
time_ground_truth,0.18002419,0.14501753,0.21538556,0.0
time_researched,-0.0016543914,-0.035752613,0.032478683,1.0
time_istest,0.041809708,0.00723593,0.07642213,0.6181011312313539
time_ground_truth_researched,0.25708458,0.18946083,0.3224399,0.0
time_ground_truth_istest,0.021602605,-0.044746596,0.08765887,0.7155792048583434
time_researched_istest,0.023565535,-0.04097109,0.089203395,0.6988396365132495
time_ground_truth_researched_istest,0.017611416,-0.09164161,0.12817872,0.45491698099074407
