Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.0015421881,-0.16197233,0.15905428,0.31150065882274525
time,-0.0038454542,-0.018317545,0.01066266,1.0
ground_truth,0.6501188,0.63504946,0.6649307,0.0
researched,-0.015503277,-0.030286184,-0.0010103371,1.0
ground_truth_researched,0.12495023,0.096349575,0.15340565,0.0
time_ground_truth,0.1581857,0.13002357,0.18683545,0.0
time_researched,-0.013970176,-0.043275118,0.015004316,1.0
time_ground_truth_researched,0.19999842,0.14423627,0.25537527,0.0
