Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,-1.8360212,-1.8841214,-1.7884276,0.0
ground_truth,0.0073070466,-0.064072475,0.07859683,0.7009216162934918
researched,0.10803359,0.037639357,0.17845388,0.08777960407528017
istest,0.02076675,-0.06328685,0.1068709,0.587689968021103
ground_truth_researched,-0.15491721,-0.286201,-0.021712974,0.10695012042880554
ground_truth_istest,-0.01597964,-0.14632072,0.113806784,0.3844268680377303
researched_istest,-0.0979178,-0.22812277,0.03308862,0.31808957589005993
ground_truth_researched_istest,0.0668459,-0.12498633,0.26050383,0.25940999597349135
