Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,-0.00045120087,-0.121592,0.12636505,0.40329565010243923
time,-0.030012114,-0.06084313,0.00041365708,0.822988937940623
ground_truth,0.35577422,0.32368442,0.38771987,0.0
researched,-0.0046925903,-0.036375582,0.026631279,1.0
ground_truth_researched,-0.030419333,-0.085879356,0.025287436,0.6772475392460706
time_ground_truth,-0.23348956,-0.2918194,-0.17456815,0.0
time_researched,-0.006614387,-0.062781505,0.050557178,0.8823112950411945
time_ground_truth_researched,-0.082286015,-0.17244475,0.007887278,0.3210038715274525
