Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,-1.9680827,-2.0106585,-1.9254696,0.0
ground_truth,-0.06351219,-0.12674356,-0.0013625391,0.3879172656734872
researched,0.07148569,0.011685767,0.13175131,0.3191109679312111
istest,0.007177156,-0.071164176,0.0871504,0.6316537688112779
ground_truth_researched,0.034521192,-0.08447831,0.15381932,0.419643277166195
ground_truth_istest,-0.059094455,-0.17422861,0.053535197,0.43905132232756555
researched_istest,-0.15176605,-0.26530328,-0.03897161,0.04872667381949596
ground_truth_researched_istest,-0.29593116,-0.48439947,-0.10402649,0.0
