name,rank,elpd_waic,p_waic,elpd_diff,weight,se,dse,warning,scale
GLM_full_with_model,0,-404223.1940471302,31.152400970458984,0.0,1.0,188.9387298989407,0.0,False,log
GLM_full_without_model,1,-404275.0517050396,19.92176628112793,51.85765790939331,3.009576073489532e-23,188.86715986713259,11.179479577295066,False,log
GLM_control,2,-404279.14765802724,12.7475004196167,55.95361089706421,5.007898809319926e-25,188.82694989606077,11.937225589647763,False,log
