Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.0023591828,-0.16598411,0.17046593,0.29722094816460415
time,-0.03822231,-0.063534476,-0.01224943,0.7360931328273996
ground_truth,0.7366328,0.7098218,0.7637817,0.0
researched,-0.000867857,-0.027326249,0.025559116,1.0
istest,-0.010093619,-0.036177512,0.015671406,1.0
ground_truth_researched,0.15571395,0.10612723,0.20648918,0.0
ground_truth_istest,0.07562979,0.024884772,0.12645394,0.24727217711210792
researched_istest,-0.02187759,-0.07109243,0.027837673,0.786794648126767
ground_truth_researched_istest,0.095821336,0.005454935,0.18763582,0.24451008622845544
time_ground_truth,0.12021339,0.072044894,0.16945554,0.0
time_researched,0.04661011,-0.002420105,0.09607966,0.5321850637820371
time_istest,-0.01757484,-0.067909576,0.03105322,0.8190271842703837
time_ground_truth_researched,0.20012413,0.10717672,0.2936225,0.0
time_ground_truth_istest,-0.050009273,-0.13746588,0.039259896,0.5050757065889278
time_researched_istest,-0.015595035,-0.102960415,0.0722802,0.5706439733989185
time_ground_truth_researched_istest,-0.065672964,-0.20286311,0.06661136,0.37109266909256966
