Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.0028636658,-0.16236542,0.1709849,0.299984716657605
time,-0.04257419,-0.07373592,-0.011151568,0.6207371195464891
ground_truth,0.6642643,0.63176966,0.6962744,0.0
researched,0.013360481,-0.018241797,0.04462249,1.0
ground_truth_researched,0.14904551,0.089989826,0.2092465,0.0
time_ground_truth,0.11767982,0.058612704,0.17634672,0.0
time_researched,0.037965644,-0.020093642,0.095933706,0.6041131124547107
time_ground_truth_researched,0.23054388,0.12989296,0.33370075,0.0
